home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,city,neutral_location,shoot_out,home_team_result
Malawi,Mozambique,Africa,Africa,113,76,1,0,Friendly,Blantyre,FALSE,No,Win
Trinidad and Tobago,Suriname,South America,South America,49,135,3,0,CFU Caribbean Cup,Palo Seco,FALSE,No,Win
Tunisia,Senegal,Africa,Africa,22,58,2,0,Friendly,Tunis,FALSE,No,Win
Turkmenistan,Lebanon,Asia,Asia,132,92,0,1,AFC Asian Cup qualification,Ashgabat,FALSE,No,Lose
Uganda,Kenya,Africa,Africa,86,104,1,2,Friendly,Kampala,FALSE,No,Lose
USA,Scotland,North America,Europe,14,31,2,1,Friendly,New Britain,FALSE,No,Win
Belarus,Azerbaijan,Europe,Europe,88,130,2,2,Friendly,Maladzečna,FALSE,No,Draw
Bulgaria,North Macedonia,Europe,Europe,28,84,3,0,Friendly,Sofia,FALSE,No,Win
Suriname,Jamaica,South America,North America,135,47,3,1,CFU Caribbean Cup,Port of Spain,TRUE,No,Win
Trinidad and Tobago,St. Kitts and Nevis,South America,North America,49,138,5,1,CFU Caribbean Cup,Port of Spain,FALSE,No,Win
Austria,Czech Republic,Europe,Europe,41,10,1,0,Friendly,Salzburg,FALSE,No,Win
Colombia,Scotland,South America,Europe,9,31,1,0,Friendly,Miami,TRUE,No,Win
Cuba,Haiti,North America,North America,80,142,0,0,CFU Caribbean Cup,Arima,TRUE,No,Draw
Estonia,Turkey,Europe,Europe,115,30,0,0,Friendly,Tallinn,FALSE,No,Draw
France,Finland,Europe,Europe,5,59,2,0,Friendly,Strasbourg,FALSE,No,Win
Republic of Ireland,Portugal,Europe,Europe,44,18,0,1,Friendly,Dublin,FALSE,No,Lose
Italy,Belgium,Europe,Europe,7,40,2,2,Friendly,Cremona,FALSE,No,Draw
Japan,Mexico,Asia,North America,26,12,3,2,Kirin Cup,Fukuoka,FALSE,No,Win
Netherlands,China PR,Europe,Asia,13,55,2,0,Friendly,Tilburg,FALSE,No,Win
Northern Ireland,Germany,Europe,Europe,60,2,1,1,Friendly,Belfast,FALSE,No,Draw
Russia,United Arab Emirates,Europe,Asia,3,67,1,0,Friendly,Moscow,FALSE,No,Win
St. Kitts and Nevis,Suriname,North America,South America,138,135,1,1,CFU Caribbean Cup,Port of Spain,TRUE,No,Draw
Mauritania,Burkina Faso,Africa,Africa,91,110,0,0,FIFA World Cup qualification,Nouakchott,FALSE,No,Draw
Gambia,Liberia,Africa,Africa,121,89,2,1,FIFA World Cup qualification,Banjul,FALSE,No,Win
Germany,France,Europe,Europe,2,5,0,1,Friendly,Stuttgart,FALSE,No,Lose
Guinea-Bissau,Guinea,Africa,Africa,122,79,3,2,FIFA World Cup qualification,Bissau,FALSE,No,Win
Hungary,Italy,Europe,Europe,82,7,0,2,Friendly,Budapest,FALSE,No,Lose
Iceland,North Macedonia,Europe,Europe,52,84,1,1,FIFA World Cup qualification,Reykjavík,FALSE,No,Draw
Malawi,South Africa,Africa,Africa,113,20,0,1,FIFA World Cup qualification,Blantyre,FALSE,No,Lose
Namibia,Mozambique,Africa,Africa,126,76,2,0,FIFA World Cup qualification,Windhoek,FALSE,No,Win
Qatar,IR Iran,Asia,Asia,81,122,0,1,Friendly,Doha,FALSE,No,Lose
Romania,Moldova,Europe,Europe,16,107,3,1,Friendly,Bucharest,FALSE,No,Win
Sudan,Zambia,Africa,Africa,94,15,2,0,FIFA World Cup qualification,Khartoum,FALSE,No,Win
Sweden,Belarus,Europe,Europe,4,88,5,1,FIFA World Cup qualification,Solna,FALSE,No,Win
Switzerland,Czech Republic,Europe,Europe,21,10,1,2,Friendly,Basel,FALSE,No,Lose
Uganda,Angola,Africa,Africa,86,85,0,2,FIFA World Cup qualification,Kampala,FALSE,No,Lose
Belize,Panama,North America,North America,176,133,1,2,FIFA World Cup qualification,Belize City,FALSE,No,Lose
Bulgaria,United Arab Emirates,Europe,Asia,28,67,4,1,Friendly,Sofia,FALSE,No,Win
Burundi,Sierra Leone,Africa,Africa,151,53,1,0,FIFA World Cup qualification,Bujumbura,FALSE,No,Win
Congo,Côte d'Ivoire,Africa,Africa,125,23,2,0,FIFA World Cup qualification,Brazzaville,FALSE,No,Win
Denmark,Ghana,Europe,Africa,11,17,1,0,Friendly,Copenhagen,FALSE,No,Win
Ecuador,Argentina,South America,South America,38,8,2,0,FIFA World Cup qualification,Quito,FALSE,No,Win
Finland,Turkey,Europe,Europe,59,30,1,2,Friendly,Helsinki,FALSE,No,Lose
Republic of Ireland,Croatia,Europe,Europe,44,27,2,2,Friendly,Dublin,FALSE,No,Draw
Kenya,Algeria,Africa,Africa,104,46,3,1,FIFA World Cup qualification,Nairobi,FALSE,No,Win
Madagascar,Zimbabwe,Africa,Africa,143,69,1,2,FIFA World Cup qualification,Antananarivo,FALSE,No,Lose
Norway,Azerbaijan,Europe,Europe,19,130,5,0,FIFA World Cup qualification,Oslo,FALSE,No,Win
Peru,Colombia,South America,South America,77,9,1,1,FIFA World Cup qualification,Lima,FALSE,No,Draw
Russia,Poland,Europe,Europe,3,42,2,0,Friendly,Moscow,FALSE,No,Win
Rwanda,Tunisia,Africa,Africa,173,22,1,3,FIFA World Cup qualification,Kigali,FALSE,No,Lose
San Marino,Wales,Europe,Europe,155,72,0,5,FIFA World Cup qualification,Serravalle,FALSE,No,Lose
Eswatini,Gabon,Africa,Africa,154,48,0,1,FIFA World Cup qualification,Mbabane,FALSE,No,Lose
Togo,Senegal,Africa,Africa,109,58,2,1,FIFA World Cup qualification,Lomé,FALSE,No,Win
Uruguay,Paraguay,South America,South America,32,62,0,2,FIFA World Cup qualification,Montevideo,FALSE,No,Lose
Venezuela,Chile,South America,South America,119,29,1,1,FIFA World Cup qualification,Barinas,FALSE,No,Draw
Cuba,Suriname,North America,South America,80,135,4,0,CFU Caribbean Cup,Port of Spain,TRUE,No,Win
Oman,Bahrain,Asia,Asia,106,108,3,0,Friendly,Muscat,FALSE,No,Win
Germany,Liechtenstein,Europe,Europe,2,159,9,1,Friendly,Mannheim,FALSE,No,Win
Netherlands,Republic of Ireland,Europe,Europe,13,44,3,1,Friendly,Rotterdam,FALSE,No,Win
Canada,Costa Rica,North America,North America,65,87,0,1,Friendly,Toronto,FALSE,No,Lose
France,Armenia,Europe,Europe,5,124,2,0,Friendly,Villeneuve-d'Ascq,FALSE,No,Win
Iceland,Cyprus,Europe,Europe,52,74,2,1,Friendly,Akranes,FALSE,No,Win
Trinidad and Tobago,Cuba,South America,North America,49,80,2,0,CFU Caribbean Cup,Port of Spain,FALSE,No,Win
England,Switzerland,Europe,Europe,24,21,1,1,UEFA Euro,London,FALSE,No,Draw
Mexico,Bolivia,North America,South America,12,37,1,0,USA Cup,Dallas,TRUE,No,Win
Tanzania,Ghana,Africa,Africa,78,17,0,0,FIFA World Cup qualification,Dar es Salaam,FALSE,No,Draw
Denmark,Portugal,Europe,Europe,11,18,1,1,UEFA Euro,Sheffield,TRUE,No,Draw
Germany,Czech Republic,Europe,Europe,2,10,2,0,UEFA Euro,Manchester,TRUE,No,Win
Côte d'Ivoire,Burkina Faso,Africa,Africa,23,110,1,1,Friendly,Abidjan,FALSE,No,Draw
Lebanon,Kuwait,Asia,Asia,92,70,3,5,AFC Asian Cup qualification,Beirut,FALSE,No,Lose
Nigeria,Togo,Africa,Africa,43,109,1,3,Friendly,Lagos,FALSE,No,Lose
Panama,Belize,North America,North America,133,176,4,1,FIFA World Cup qualification,Panama City,FALSE,No,Win
Spain,Bulgaria,Europe,Europe,6,28,1,1,UEFA Euro,Leeds,TRUE,No,Draw
USA,Republic of Ireland,North America,Europe,14,44,2,1,USA Cup,Foxborough,FALSE,No,Win
Cuba,Haiti,North America,North America,80,142,6,1,FIFA World Cup qualification,Port of Spain,TRUE,No,Win
IR Iran,Nepal,Asia,Asia,122,146,8,0,AFC Asian Cup qualification,Tehran,FALSE,No,Win
Netherlands,Scotland,Europe,Europe,13,31,0,0,UEFA Euro,Birmingham,TRUE,No,Draw
Romania,France,Europe,Europe,16,5,0,1,UEFA Euro,Newcastle,TRUE,No,Lose
Sri Lanka,Oman,Asia,Asia,144,106,0,3,AFC Asian Cup qualification,Tehran,TRUE,No,Lose
Italy,Russia,Europe,Europe,7,3,2,1,UEFA Euro,Liverpool,TRUE,No,Win
Turkey,Croatia,Europe,Europe,30,27,0,1,UEFA Euro,Nottingham,TRUE,No,Lose
IR Iran,Sri Lanka,Asia,Asia,122,144,7,0,AFC Asian Cup qualification,Tehran,FALSE,No,Win
Mexico,Republic of Ireland,North America,Europe,12,44,2,2,USA Cup,East Rutherford,TRUE,No,Draw
Nepal,Oman,Asia,Asia,146,106,0,7,AFC Asian Cup qualification,Tehran,TRUE,No,Lose
Tanzania,Sudan,Africa,Africa,78,94,0,0,Friendly,Dar es Salaam,FALSE,No,Draw
USA,Bolivia,North America,South America,14,37,0,2,USA Cup,Washington,FALSE,No,Lose
Barbados,Trinidad and Tobago,North America,South America,112,49,0,4,Friendly,Bridgetown,FALSE,No,Lose
Bulgaria,Romania,Europe,Europe,28,16,1,0,UEFA Euro,Newcastle,TRUE,No,Win
Switzerland,Netherlands,Europe,Europe,21,13,0,2,UEFA Euro,Birmingham,TRUE,No,Lose
Algeria,Kenya,Africa,Africa,46,104,1,0,FIFA World Cup qualification,Algiers,FALSE,No,Win
Czech Republic,Italy,Europe,Europe,10,7,2,1,UEFA Euro,Liverpool,TRUE,No,Win
IR Iran,Oman,Asia,Asia,122,106,2,0,AFC Asian Cup qualification,Tehran,FALSE,No,Win
Kazakhstan,Qatar,Europe,Asia,166,81,1,0,AFC Asian Cup qualification,Almaty,FALSE,No,Win
Portugal,Turkey,Europe,Europe,18,30,1,0,UEFA Euro,Nottingham,TRUE,No,Win
Sri Lanka,Nepal,Asia,Asia,144,146,3,1,AFC Asian Cup qualification,Tehran,TRUE,No,Win
Bolivia,Republic of Ireland,South America,Europe,37,44,0,3,USA Cup,East Rutherford,TRUE,No,Lose
Dominican Republic,Trinidad and Tobago,North America,South America,116,49,1,4,FIFA World Cup qualification,Santo Domingo,FALSE,No,Lose
England,Scotland,Europe,Europe,24,31,2,0,UEFA Euro,London,FALSE,No,Win
France,Spain,Europe,Europe,5,6,1,1,UEFA Euro,Leeds,TRUE,No,Draw
Senegal,Togo,Africa,Africa,58,109,1,1,FIFA World Cup qualification,Dakar,FALSE,No,Draw
South Africa,Malawi,Africa,Africa,20,113,3,0,FIFA World Cup qualification,Johannesburg,FALSE,No,Win
Angola,Uganda,Africa,Africa,85,86,3,1,FIFA World Cup qualification,Luanda,FALSE,No,Win
Burkina Faso,Mauritania,Africa,Africa,110,91,2,0,FIFA World Cup qualification,Ouagadougou,FALSE,No,Win
Croatia,Denmark,Europe,Europe,27,11,3,0,UEFA Euro,Sheffield,TRUE,No,Win
Gabon,Eswatini,Africa,Africa,48,154,2,0,FIFA World Cup qualification,Libreville,FALSE,No,Win
Guinea,Guinea-Bissau,Africa,Africa,79,122,3,1,FIFA World Cup qualification,Conakry,FALSE,No,Win
Côte d'Ivoire,Congo,Africa,Africa,23,125,1,1,FIFA World Cup qualification,Abidjan,FALSE,No,Draw
Mozambique,Namibia,Africa,Africa,76,126,1,1,FIFA World Cup qualification,Maputo,FALSE,No,Draw
Russia,Germany,Europe,Europe,3,2,0,3,UEFA Euro,Manchester,TRUE,No,Lose
Sierra Leone,Burundi,Africa,Africa,53,151,0,1,FIFA World Cup qualification,Freetown,FALSE,No,Lose
Tunisia,Rwanda,Africa,Africa,22,173,2,0,FIFA World Cup qualification,Tunis,FALSE,No,Win
USA,Mexico,North America,North America,14,12,2,2,USA Cup,Pasadena,FALSE,No,Draw
Zambia,Sudan,Africa,Africa,15,94,3,0,FIFA World Cup qualification,Lusaka,FALSE,No,Win
Zimbabwe,Madagascar,Africa,Africa,69,143,2,2,FIFA World Cup qualification,Harare,FALSE,No,Draw
Ghana,Tanzania,Africa,Africa,17,78,2,1,FIFA World Cup qualification,Kumasi,FALSE,No,Win
Oman,Nepal,Asia,Asia,106,146,2,1,AFC Asian Cup qualification,Muscat,FALSE,No,Win
Sri Lanka,IR Iran,Asia,Asia,144,122,0,4,AFC Asian Cup qualification,Muscat,TRUE,No,Lose
England,Netherlands,Europe,Europe,24,13,4,1,UEFA Euro,London,FALSE,No,Win
France,Bulgaria,Europe,Europe,5,28,3,1,UEFA Euro,Newcastle,TRUE,No,Win
Romania,Spain,Europe,Europe,16,6,1,2,UEFA Euro,Leeds,TRUE,No,Lose
Scotland,Switzerland,Europe,Europe,31,21,1,0,UEFA Euro,Birmingham,TRUE,No,Win
Croatia,Portugal,Europe,Europe,27,18,0,3,UEFA Euro,Nottingham,TRUE,No,Lose
Italy,Germany,Europe,Europe,7,2,0,0,UEFA Euro,Manchester,TRUE,No,Draw
Nepal,IR Iran,Asia,Asia,146,122,0,4,AFC Asian Cup qualification,Muscat,TRUE,No,Lose
Oman,Sri Lanka,Asia,Asia,106,144,10,0,AFC Asian Cup qualification,Muscat,FALSE,No,Win
Russia,Czech Republic,Europe,Europe,3,10,3,3,UEFA Euro,Liverpool,TRUE,No,Draw
Turkey,Denmark,Europe,Europe,30,11,0,3,UEFA Euro,Sheffield,TRUE,No,Lose
Uzbekistan,Tajikistan,Asia,Asia,102,156,5,0,AFC Asian Cup qualification,Tashkent,FALSE,No,Win
Kuwait,Lebanon,Asia,Asia,70,92,0,0,AFC Asian Cup qualification,Kuwait City,FALSE,No,Draw
Peru,Armenia,South America,Europe,77,124,4,0,Friendly,Lima,FALSE,No,Win
Nepal,Sri Lanka,Asia,Asia,146,144,0,2,AFC Asian Cup qualification,Muscat,TRUE,No,Lose
Oman,IR Iran,Asia,Asia,106,122,1,2,AFC Asian Cup qualification,Muscat,FALSE,No,Lose
Syria,Kazakhstan,Asia,Europe,145,166,2,0,AFC Asian Cup qualification,Damascus,FALSE,No,Win
England,Spain,Europe,Europe,24,6,0,0,UEFA Euro,London,FALSE,Yes,Win
France,Netherlands,Europe,Europe,5,13,0,0,UEFA Euro,Liverpool,TRUE,Yes,Win
Honduras,Venezuela,North America,South America,54,119,1,0,Friendly,San Pedro Sula,FALSE,No,Win
Barbados,Jamaica,North America,North America,112,47,0,1,FIFA World Cup qualification,Bridgetown,FALSE,No,Lose
Czech Republic,Portugal,Europe,Europe,10,18,1,0,UEFA Euro,Birmingham,TRUE,No,Win
Germany,Croatia,Europe,Europe,2,27,2,1,UEFA Euro,Manchester,TRUE,No,Win
Liberia,Gambia,Africa,Africa,89,121,4,0,FIFA World Cup qualification,Accra,TRUE,No,Win
St. Kitts and Nevis,St. Vincent and the Grenadines,North America,North America,138,83,2,2,FIFA World Cup qualification,Basseterre,FALSE,No,Draw
Trinidad and Tobago,Dominican Republic,South America,North America,49,116,8,0,FIFA World Cup qualification,Port of Spain,FALSE,No,Win
Paraguay,Armenia,South America,Europe,62,124,1,2,Friendly,Asunción,FALSE,No,Lose
England,Germany,Europe,Europe,24,2,1,1,UEFA Euro,London,FALSE,Yes,Lose
France,Czech Republic,Europe,Europe,5,10,0,0,UEFA Euro,Manchester,TRUE,Yes,Lose
Myanmar,Singapore,Asia,Asia,100,98,0,4,AFC Asian Cup qualification,Bangkok,TRUE,No,Lose
Thailand,Maldives,Asia,Africa,61,167,8,0,AFC Asian Cup qualification,Bangkok,FALSE,No,Win
China PR,New Zealand,Asia,Oceania,55,114,2,0,Friendly,Beijing,FALSE,No,Win
Qatar,Syria,Asia,Asia,81,145,1,0,AFC Asian Cup qualification,Doha,FALSE,No,Win
Maldives,Singapore,Africa,Asia,167,98,0,2,AFC Asian Cup qualification,Bangkok,TRUE,No,Lose
Thailand,Myanmar,Asia,Asia,61,100,5,1,AFC Asian Cup qualification,Bangkok,FALSE,No,Win
Czech Republic,Germany,Europe,Europe,10,2,1,2,UEFA Euro,London,TRUE,No,Lose
Ecuador,Armenia,South America,Europe,38,124,3,0,Friendly,Portoviejo,FALSE,No,Win
Haiti,Cuba,North America,North America,142,80,1,1,FIFA World Cup qualification,Cap-Haïtien,FALSE,No,Draw
Jamaica,Barbados,North America,North America,47,112,2,0,FIFA World Cup qualification,Kingston,FALSE,No,Win
St. Vincent and the Grenadines,St. Kitts and Nevis,North America,North America,83,138,0,0,FIFA World Cup qualification,Kingstown,FALSE,No,Draw
Myanmar,Maldives,Asia,Africa,100,167,3,1,AFC Asian Cup qualification,Bangkok,TRUE,No,Win
Thailand,Singapore,Asia,Asia,61,98,1,1,AFC Asian Cup qualification,Bangkok,FALSE,No,Draw
Maldives,Thailand,Africa,Asia,168,61,0,8,AFC Asian Cup qualification,Singapore,TRUE,No,Lose
Singapore,Myanmar,Asia,Asia,99,111,2,2,AFC Asian Cup qualification,Singapore,FALSE,No,Draw
Qatar,Kazakhstan,Asia,Europe,86,157,3,0,AFC Asian Cup qualification,Doha,FALSE,No,Win
Chile,Ecuador,South America,South America,29,32,4,1,FIFA World Cup qualification,Santiago,FALSE,No,Win
Malawi,Tanzania,Africa,Africa,100,68,3,2,Friendly,Blantyre,FALSE,No,Win
Bolivia,Venezuela,South America,South America,36,125,6,1,FIFA World Cup qualification,La Paz,FALSE,No,Win
Myanmar,Thailand,Asia,Asia,111,61,1,7,AFC Asian Cup qualification,Singapore,TRUE,No,Lose
Colombia,Uruguay,South America,South America,12,38,3,1,FIFA World Cup qualification,Barranquilla,FALSE,No,Win
Estonia,Latvia,Europe,Europe,124,77,1,1,Baltic Cup,Narva,FALSE,No,Draw
Peru,Argentina,South America,South America,78,15,0,0,FIFA World Cup qualification,Lima,FALSE,No,Draw
Singapore,Maldives,Asia,Africa,99,168,5,2,AFC Asian Cup qualification,Singapore,FALSE,No,Win
Latvia,Lithuania,Europe,Europe,77,65,1,2,Baltic Cup,Narva,TRUE,No,Lose
Malawi,Tanzania,Africa,Africa,100,68,1,0,Friendly,Lilongwe,FALSE,No,Win
Myanmar,Maldives,Asia,Africa,111,168,4,1,AFC Asian Cup qualification,Singapore,TRUE,No,Win
Estonia,Lithuania,Europe,Europe,124,65,1,1,Baltic Cup,Narva,FALSE,No,Draw
Singapore,Thailand,Asia,Asia,99,61,2,2,AFC Asian Cup qualification,Singapore,FALSE,No,Draw
Malawi,Tanzania,Africa,Africa,100,68,1,1,Friendly,Mzuzu,FALSE,No,Draw
Kazakhstan,Syria,Europe,Asia,157,142,0,1,AFC Asian Cup qualification,Almaty,FALSE,No,Lose
China PR,Uruguay,Asia,South America,54,38,1,1,Friendly,Beijing,FALSE,No,Draw
Syria,Qatar,Asia,Asia,142,86,3,1,AFC Asian Cup qualification,Damascus,FALSE,No,Win
Panama,Venezuela,North America,South America,121,125,0,2,Friendly,Panama City,FALSE,No,Lose
Honduras,Panama,North America,North America,49,121,1,1,Friendly,Tegucigalpa,FALSE,No,Draw
Paraguay,Bolivia,South America,South America,63,36,2,0,Friendly,Asunción,FALSE,No,Win
Honduras,Trinidad and Tobago,North America,South America,49,34,0,0,Friendly,Tegucigalpa,FALSE,No,Draw
Jamaica,Panama,North America,North America,45,121,0,0,Friendly,Kingston,FALSE,No,Draw
Panama,Trinidad and Tobago,North America,South America,121,34,1,0,Friendly,Panama City,FALSE,No,Win
Belarus,Lithuania,Europe,Europe,92,65,2,2,Friendly,Minsk,FALSE,No,Draw
Costa Rica,Honduras,North America,North America,93,49,1,1,Friendly,San José,FALSE,No,Draw
Guatemala,Panama,North America,North America,108,121,1,0,Friendly,Guatemala,FALSE,No,Win
Vietnam,Chinese Taipei,Asia,Asia,130,180,4,1,AFC Asian Cup qualification,Ho Chi Minh City,FALSE,No,Win
Panama,Honduras,North America,North America,121,49,2,1,Friendly,Panama City,FALSE,No,Win
Benin,Mauritania,Africa,Africa,165,95,4,1,African Cup of Nations qualification,Cotonou,FALSE,No,Win
China PR,Paraguay,Asia,South America,54,63,0,2,Friendly,Beijing,FALSE,No,Lose
Korea Republic,Chinese Taipei,Asia,Asia,53,180,4,0,AFC Asian Cup qualification,Ho Chi Minh City,TRUE,No,Win
Jordan,Pakistan,Asia,Asia,152,167,4,0,AFC Asian Cup qualification,Amman,FALSE,No,Win
Botswana,Namibia,Africa,Africa,163,109,0,0,African Cup of Nations qualification,Gaborone,FALSE,No,Draw
Congo,Togo,Africa,Africa,103,97,0,0,African Cup of Nations qualification,Pointe-Noire,FALSE,No,Draw
Honduras,Costa Rica,North America,North America,49,93,0,0,Friendly,Tegucigalpa,FALSE,No,Draw
Iraq,Pakistan,Asia,Asia,139,167,3,0,AFC Asian Cup qualification,Amman,TRUE,No,Win
Mauritius,Seychelles,Africa,Africa,154,178,1,0,African Cup of Nations qualification,Port Louis,FALSE,No,Win
Uganda,Ethiopia,Africa,Africa,90,106,1,1,African Cup of Nations qualification,Kampala,FALSE,No,Draw
Vietnam,Korea Republic,Asia,Asia,130,53,0,4,AFC Asian Cup qualification,Ho Chi Minh City,FALSE,No,Lose
Jordan,Iraq,Asia,Asia,152,139,0,1,AFC Asian Cup qualification,Amman,FALSE,No,Lose
Ukraine,Lithuania,Europe,Europe,83,65,5,2,Friendly,Kyiv,FALSE,No,Win
Greece,Albania,Europe,Europe,35,102,2,1,Friendly,Athens,FALSE,No,Win
Honduras,El Salvador,North America,North America,49,76,2,1,Friendly,San Pedro Sula,FALSE,No,Win
Hungary,United Arab Emirates,Europe,Asia,87,67,3,1,Friendly,Siófok,FALSE,No,Win
Iceland,Malta,Europe,Europe,52,107,2,1,Friendly,Reykjavík,FALSE,No,Win
Latvia,Finland,Europe,Europe,77,73,0,0,Friendly,Riga,FALSE,No,Draw
Panama,Guatemala,North America,North America,121,108,1,0,Friendly,Panama City,FALSE,No,Win
Peru,Costa Rica,South America,North America,78,93,3,0,Friendly,Arequipa,FALSE,No,Win
Romania,Israel,Europe,Europe,23,48,2,0,Friendly,Bucharest,FALSE,No,Win
Sweden,Denmark,Europe,Europe,7,10,0,1,Friendly,Gothenburg,FALSE,No,Lose
Turkey,Moldova,Europe,Europe,31,115,2,0,Friendly,Istanbul,FALSE,No,Win
Ecuador,Costa Rica,South America,North America,32,93,1,1,Friendly,Cuenca,FALSE,No,Draw
Rwanda,Uganda,Africa,Africa,164,90,0,0,Friendly,Kigali,FALSE,No,Draw
Guatemala,Honduras,North America,North America,108,49,1,1,Friendly,Monterey Park,TRUE,No,Draw
Belarus,United Arab Emirates,Europe,Asia,92,67,0,1,Friendly,Fürth,TRUE,No,Lose
Oman,Mali,Asia,Africa,80,69,1,0,Friendly,Muscat,FALSE,No,Win
Togo,Benin,Africa,Africa,97,165,2,0,Friendly,Lomé,FALSE,No,Win
El Salvador,Honduras,North America,North America,76,49,1,2,Friendly,San Salvador,FALSE,No,Lose
Oman,Mali,Asia,Africa,80,69,1,1,Friendly,Muscat,FALSE,No,Draw
Panama,Jamaica,North America,North America,121,45,2,0,Friendly,Panama City,FALSE,No,Win
Seychelles,Mauritius,Africa,Africa,178,154,1,1,African Cup of Nations qualification,Victoria,FALSE,No,Draw
Ethiopia,Uganda,Africa,Africa,106,90,1,1,African Cup of Nations qualification,Addis Ababa,FALSE,Yes,Win
Honduras,Cuba,North America,North America,49,64,4,0,Friendly,Tegucigalpa,FALSE,No,Win
Japan,Uruguay,Asia,South America,25,38,5,3,Friendly,Osaka,FALSE,No,Win
Namibia,Botswana,Africa,Africa,109,163,6,0,African Cup of Nations qualification,Windhoek,FALSE,No,Win
Togo,Congo,Africa,Africa,97,103,1,0,African Cup of Nations qualification,Lomé,FALSE,No,Win
Guatemala,Jamaica,North America,North America,108,45,2,1,Friendly,Guatemala,FALSE,No,Win
Poland,Cyprus,Europe,Europe,50,81,2,2,Friendly,Bełchatów,FALSE,No,Draw
Honduras,Cuba,North America,North America,48,51,2,2,Friendly,San Pedro Sula,FALSE,No,Draw
Oman,Sudan,Asia,Africa,83,95,0,0,Friendly,Muscat,FALSE,No,Draw
Russia,Brazil,Europe,South America,8,1,2,2,Friendly,Moscow,FALSE,No,Draw
Canada,Panama,North America,North America,88,106,3,1,FIFA World Cup qualification,Edmonton,FALSE,No,Win
Guatemala,Cuba,North America,North America,111,51,1,1,Friendly,Guatemala,FALSE,No,Draw
Mauritania,Benin,Africa,Africa,100,154,0,0,African Cup of Nations qualification,Nouakchott,FALSE,No,Draw
USA,El Salvador,North America,North America,20,76,3,1,Friendly,Los Angeles,FALSE,No,Win
Armenia,Portugal,Europe,Europe,122,12,0,0,FIFA World Cup qualification,Yerevan,FALSE,No,Draw
Austria,Scotland,Europe,Europe,42,36,0,0,FIFA World Cup qualification,Vienna,FALSE,No,Draw
Azerbaijan,Switzerland,Europe,Europe,133,31,1,0,FIFA World Cup qualification,Baku,FALSE,No,Win
Belarus,Estonia,Europe,Europe,92,112,1,0,FIFA World Cup qualification,Minsk,FALSE,No,Win
Belgium,Turkey,Europe,Europe,43,29,2,1,FIFA World Cup qualification,Brussels,FALSE,No,Win
Faroe Islands,Slovakia,Europe,Europe,137,38,1,2,FIFA World Cup qualification,Toftir,FALSE,No,Lose
France,Mexico,Europe,North America,3,14,2,0,Friendly,Paris,FALSE,No,Win
Liechtenstein,Republic of Ireland,Europe,Europe,160,37,0,5,FIFA World Cup qualification,Eschen,FALSE,No,Lose
Netherlands,Brazil,Europe,South America,6,1,2,2,Friendly,Amsterdam,FALSE,No,Draw
Northern Ireland,Ukraine,Europe,Europe,63,73,0,1,FIFA World Cup qualification,Belfast,FALSE,No,Lose
Oman,Sudan,Asia,Africa,83,95,0,1,Friendly,Muscat,FALSE,No,Lose
Romania,Lithuania,Europe,Europe,18,57,3,0,FIFA World Cup qualification,Bucharest,FALSE,No,Win
Wales,San Marino,Europe,Europe,71,160,6,0,FIFA World Cup qualification,Cardiff,FALSE,No,Win
Argentina,Paraguay,South America,South America,24,46,1,1,FIFA World Cup qualification,Buenos Aires,FALSE,No,Draw
Bolivia,Peru,South America,South America,35,66,0,0,FIFA World Cup qualification,La Paz,FALSE,No,Draw
Colombia,Chile,South America,South America,11,21,4,1,FIFA World Cup qualification,Barranquilla,FALSE,No,Win
Ecuador,Venezuela,South America,South America,32,118,1,0,FIFA World Cup qualification,Quito,FALSE,No,Win
Greece,Bosnia and Herzegovina,Europe,Europe,30,172,3,0,FIFA World Cup qualification,Kalamáta,FALSE,No,Win
Hungary,Finland,Europe,Europe,81,68,1,0,FIFA World Cup qualification,Budapest,FALSE,No,Win
Israel,Bulgaria,Europe,Europe,52,17,2,1,FIFA World Cup qualification,Ramat-Gan,FALSE,No,Win
Latvia,Sweden,Europe,Europe,69,9,1,2,FIFA World Cup qualification,Riga,FALSE,No,Lose
Moldova,England,Europe,Europe,115,13,0,3,FIFA World Cup qualification,Chișinău,FALSE,No,Lose
Norway,Georgia,Europe,Europe,25,90,1,0,Friendly,Oslo,FALSE,No,Win
Russia,Cyprus,Europe,Europe,8,82,4,0,FIFA World Cup qualification,Moscow,FALSE,No,Win
Singapore,Malaysia,Asia,Asia,89,108,1,1,AFF Championship,Singapore,FALSE,No,Draw
Slovenia,Denmark,Europe,Europe,57,10,0,2,FIFA World Cup qualification,Ljubljana,FALSE,No,Lose
Trinidad and Tobago,Costa Rica,South America,North America,33,85,0,1,FIFA World Cup qualification,Port of Spain,FALSE,No,Lose
Cambodia,Vietnam,Asia,Asia,182,110,1,3,AFF Championship,Singapore,TRUE,No,Lose
Laos,Indonesia,Asia,Asia,156,131,1,5,AFF Championship,Singapore,TRUE,No,Lose
Philippines,Thailand,Asia,Asia,170,50,0,5,AFF Championship,Singapore,TRUE,No,Lose
Czech Republic,Iceland,Europe,Europe,4,54,2,1,Friendly,Jablonec nad Nisou nad Nisou,FALSE,No,Win
Faroe Islands,Spain,Europe,Europe,137,7,2,6,FIFA World Cup qualification,Toftir,FALSE,No,Lose
