home_team,away_team,home_team_continent,away_team_continent,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,city,neutral_location,shoot_out,home_team_result
Saudi Arabia,Costa Rica,Asia,North America,44,38,1,2,Friendly,Khobar,FALSE,No,Lose
Korea Republic,Australia,Asia,Oceania,36,65,1,1,Friendly,Seoul,FALSE,No,Draw
Nigeria,Côte d'Ivoire,Africa,Africa,18,31,4,1,FIFA World Cup qualification,Lagos,FALSE,No,Win
Korea Republic,Australia,Asia,Oceania,36,65,1,0,Friendly,Seoul,FALSE,No,Win
Zambia,Senegal,Africa,Africa,27,57,4,0,FIFA World Cup qualification,Lusaka,FALSE,No,Win
Zimbabwe,Guinea,Africa,Africa,47,60,1,0,FIFA World Cup qualification,Harare,FALSE,No,Win
Saudi Arabia,Costa Rica,Asia,North America,44,38,3,2,Friendly,Khobar,FALSE,No,Win
Mexico,Poland,North America,Europe,16,22,0,0,Friendly,Oakland,TRUE,No,Draw
Morocco,Gabon,Africa,Africa,32,51,1,0,Friendly,Rabat,FALSE,No,Win
Japan,Côte d'Ivoire,Asia,Africa,43,31,1,0,Friendly,Tokyo,FALSE,No,Win
Cyprus,Israel,Europe,Europe,74,71,2,2,Friendly,Limassol,FALSE,No,Draw
Belgium,Gabon,Europe,Africa,24,51,2,1,Friendly,Brussels,FALSE,No,Win
Mexico,South Africa,North America,Africa,16,95,4,0,Friendly,Los Angeles,TRUE,No,Win
Saudi Arabia,Russia,Asia,Europe,44,8,4,2,Friendly,Khobar,FALSE,No,Win
Algeria,Nigeria,Africa,Africa,30,18,1,1,FIFA World Cup qualification,Algiers,FALSE,No,Draw
Cameroon,Zimbabwe,Africa,Africa,23,47,3,1,FIFA World Cup qualification,Yaoundé,FALSE,No,Win
Morocco,Zambia,Africa,Africa,32,27,1,0,FIFA World Cup qualification,Casablanca,FALSE,No,Win
Luxembourg,Greece,Europe,Europe,110,35,1,3,FIFA World Cup qualification,Luxembourg,FALSE,No,Lose
Bulgaria,Austria,Europe,Europe,37,33,4,1,FIFA World Cup qualification,Sofia,FALSE,No,Win
Denmark,Northern Ireland,Europe,Europe,4,40,1,0,FIFA World Cup qualification,Copenhagen,FALSE,No,Win
France,Israel,Europe,Europe,7,71,2,3,FIFA World Cup qualification,Paris,FALSE,No,Lose
Germany,Uruguay,Europe,South America,5,15,5,0,Friendly,Karlsruhe,FALSE,No,Win
Republic of Ireland,Spain,Europe,Europe,9,14,1,3,FIFA World Cup qualification,Dublin,FALSE,No,Lose
Italy,Scotland,Europe,Europe,2,28,3,1,FIFA World Cup qualification,Rome,FALSE,No,Win
Netherlands,England,Europe,Europe,13,5,2,0,FIFA World Cup qualification,Rotterdam,FALSE,No,Win
Poland,Norway,Europe,Europe,22,3,0,3,FIFA World Cup qualification,Poznań,FALSE,No,Lose
Portugal,Switzerland,Europe,Europe,21,10,1,0,FIFA World Cup qualification,Porto,FALSE,No,Win
Romania,Belgium,Europe,Europe,20,24,2,1,FIFA World Cup qualification,Bucharest,FALSE,No,Win
Sweden,Finland,Europe,Europe,11,50,3,2,FIFA World Cup qualification,Solna,FALSE,No,Win
USA,Mexico,North America,North America,26,16,1,1,Friendly,Washington,FALSE,No,Draw
Wales,Cyprus,Europe,Europe,29,74,2,0,FIFA World Cup qualification,Cardiff,FALSE,No,Win
Korea DPR,Iraq,Asia,Asia,64,59,3,2,FIFA World Cup qualification,Doha,TRUE,No,Win
Saudi Arabia,Japan,Asia,Asia,44,43,0,0,FIFA World Cup qualification,Doha,TRUE,No,Draw
IR Iran,Korea Republic,Asia,Asia,58,36,0,3,FIFA World Cup qualification,Doha,TRUE,No,Lose
USA,Ukraine,North America,Europe,26,132,1,2,Friendly,High Point,FALSE,No,Lose
Tunisia,Iceland,Africa,Europe,34,49,3,1,Friendly,Tunis,FALSE,No,Win
Japan,IR Iran,Asia,Asia,43,58,1,2,FIFA World Cup qualification,Doha,TRUE,No,Lose
Korea DPR,Saudi Arabia,Asia,Asia,64,44,1,2,FIFA World Cup qualification,Doha,TRUE,No,Lose
Iraq,Korea Republic,Asia,Asia,59,36,2,2,FIFA World Cup qualification,Doha,TRUE,No,Draw
Mexico,Ukraine,North America,Europe,16,132,2,1,Friendly,San Diego,TRUE,No,Win
Korea DPR,Japan,Asia,Asia,64,43,0,3,FIFA World Cup qualification,Doha,TRUE,No,Lose
IR Iran,Iraq,Asia,Asia,59,64,1,2,FIFA World Cup qualification,Doha,TRUE,No,Lose
Korea Republic,Saudi Arabia,Asia,Asia,37,46,1,1,FIFA World Cup qualification,Doha,TRUE,No,Draw
USA,Ukraine,North America,Europe,26,120,0,1,Friendly,Bethlehem,FALSE,No,Lose
Burundi,Guinea,Africa,Africa,98,63,0,0,African Cup of Nations qualification,Libreville,TRUE,Yes,Lose
Iraq,Saudi Arabia,Asia,Asia,64,46,1,1,FIFA World Cup qualification,Doha,TRUE,No,Draw
IR Iran,Korea DPR,Asia,Asia,59,58,2,1,FIFA World Cup qualification,Doha,TRUE,No,Win
Japan,Korea Republic,Asia,Asia,44,37,1,0,FIFA World Cup qualification,Doha,TRUE,No,Win
Liechtenstein,Estonia,Europe,Europe,157,119,0,2,Friendly,Balzers,FALSE,No,Lose
United Arab Emirates,Jordan,Asia,Asia,55,89,2,1,Friendly,Al Ain,FALSE,No,Win
Hungary,Luxembourg,Europe,Europe,49,106,1,0,FIFA World Cup qualification,Budapest,FALSE,No,Win
Israel,Austria,Europe,Europe,66,34,1,1,FIFA World Cup qualification,Ramat-Gan,FALSE,No,Draw
Turkey,Poland,Europe,Europe,67,23,2,1,FIFA World Cup qualification,Istanbul,FALSE,No,Win
Iraq,Japan,Asia,Asia,64,44,2,2,FIFA World Cup qualification,Doha,TRUE,No,Draw
Korea Republic,Korea DPR,Asia,Asia,37,58,3,0,FIFA World Cup qualification,Doha,TRUE,No,Win
Saudi Arabia,IR Iran,Asia,Asia,46,59,4,3,FIFA World Cup qualification,Doha,TRUE,No,Win
United Arab Emirates,Jordan,Asia,Asia,55,89,0,2,Friendly,Al Ain,FALSE,No,Lose
Australia,Argentina,Oceania,South America,61,9,1,1,FIFA World Cup qualification,Sydney,FALSE,No,Draw
Mexico,China PR,North America,Asia,18,48,3,0,Friendly,San Diego,TRUE,No,Win
Egypt,Malta,Africa,Europe,27,84,3,0,Friendly,Tunis,TRUE,No,Win
Tunisia,Gabon,Africa,Africa,35,54,4,0,Friendly,Tunis,FALSE,No,Win
Gabon,Malta,Africa,Europe,54,84,1,2,Friendly,Tunis,TRUE,No,Lose
Tunisia,Egypt,Africa,Africa,35,27,2,1,Friendly,Tunis,FALSE,No,Win
USA,Jamaica,North America,North America,26,76,1,0,Friendly,Fullerton,FALSE,No,Win
Austria,Sweden,Europe,Europe,34,8,1,1,FIFA World Cup qualification,Vienna,FALSE,No,Draw
